problem_family,n_solicitudes
Graffiti,92073
Plagas / Roedores,226026
Saneamiento,421026
Árboles / Parques,611109
Agua / Alcantarillado,855213
Infraestructura vial,1091300
Calefacción / Agua Caliente,1626415
Tráfico / Estacionamiento,3650446
Ruido,4764657
Otros,7517716
