Problem,Problem Detail,problem_family
Litter Basket Complaint,Overflowing,Saneamiento
Hazardous Materials,Chemical Odor (HD1),Otros
Illegal Animal Sold,Other,Otros
Bike/Roller/Skate,,Otros
Beach/Pool/Sauna Complaint,Safety Equipment/Signs,Otros
Ferry Inquiry,Lost and Found,Otros
Pet Sale,Animals Sold From Residence,Otros
Special Operations,Special Operations Compliance Inspection,Otros
Drinking Water,Illness Caused by Drinking Water,Agua / Alcantarillado
Special Natural Area District (SNAD),Illegal Tree Removal/Topo. Change in SNAD,Otros
Construction Safety Enforcement,CSC - Monitoring Tracking,Otros
Ferry Complaint,General Complaint,Otros
Recycling Basket Complaint,Overflowing,Otros
For Hire Vehicle Report,Car Service Company Report,Otros
Animal Facility - No Permit,,Otros
Bike/Roller/Skate Chronic,,Otros
Plant,Plants- Odor Related Problems (PO1),Otros
Unspecified,Unspecified,Otros
Taxi Compliment,Driver Compliment,Otros
Posting Advertisement,Building,Otros
Tobacco or Non-Tobacco Sale,Original Labels or Packaging Not Kept,Otros
Mosquitoes,Large Number of Mosquitoes,Otros
E-Scooter,Improperly Parked or Abandoned,Otros
Found Property,Electronics/Phones,Otros
Poison Ivy,,Otros
Dept of Investigations,Integrity Complaint Referral,Otros
Disorderly Youth,Playing in Unsuitable Place,Otros
Building Condition,Bikes in Buildings,Otros
Highway Sign - Missing,Other/Unknown,Otros
Cranes and Derricks,Crane/Suspension Scaffold - No Permit/License/Cert./Unsafe/Illegal,Otros
Pet Shop,Dogs or Cats Not Sold,Otros
Public Payphone Complaint,Graffiti/Litter on Phone,Otros
Tanning,Equipment Maintenance,Otros
Bus Stop Shelter Placement,New Bus Stop Shelter Placement,Otros
Lifeguard,Too Few on Duty,Otros
Institution Disposal Complaint,Storage Area Not Provided,Otros
Highway Sign - Dangling,Exit/Route,Otros
Smoking,Flavored Tobacco,Otros
Building Drinking Water Tank,Unsanitary Condition,Agua / Alcantarillado
Incorrect Data,Collection Days,Otros
DEP Street Condition,Cave-in,Infraestructura vial
Bike Rack Condition,Bike Rack Repair,Otros
Calorie Labeling,Failure to Post Calorie Information,Otros
Electronics Waste Appointment,Ewaste appointment,Otros
Adopt-A-Basket,Adopt-A-Basket,Otros
Water Leak,Heavy Flow,Agua / Alcantarillado
Safety,Fire Escape,Otros
Paint/Plaster,Ceiling,Otros
Electric,Wiring,Otros
General,Cooking Gas,Otros
Unsanitary Condition,Mold,Otros
Door/Window,Window Frame,Otros
Appliance,Refrigerator,Otros
Flooring/Stairs,Floor,Otros
Unstable Building,Shaking/Vibrating,Otros
Heat/Hot Water,Entire Building,Calefacción / Agua Caliente
Sewer Maintenance,Backup,Agua / Alcantarillado
Water Drainage,Drain/Pipe Clogged,Agua / Alcantarillado
Water Maintenance,Water in Basement,Agua / Alcantarillado
Highway Sign - Damaged,Other/Unknown,Otros
